227,95,Kevin Kouzmanoff
228,95,Alfonso Soriano
229,95,Ryan Doumit
230,95,Aaron Hill
231,95,Neftali Soto
232,95,Jose Lopez
233,95,Brandon Guyer
234,95,Erick Aybar
235,95,Cody Ross
236,95,Miguel Cairo
237,95,Orlando Hudson
238,94,Marco Scutaro
239,94,Jason Varitek
240,94,Sean Rodriguez
241,94,Chris Coghlan
242,94,Alejandro de Aza
243,94,Bryce Harper
244,94,Scott Van Slyke
245,94,Jorge Posada
246,94,Marlon Byrd
247,94,John Jaso
248,94,Shelley Duncan
249,94,Matt Carpenter
250,94,Daric Barton
251,94,Alexei Ramirez
252,94,Todd Frazier
253,94,Mark Hamilton
254,93,Kyle Seager
255,93,Denard Span
256,93,Maicer Izturis
257,93,Dave Sappelt
258,93,Josh Thole
259,93,Todd Helton
260,93,Matt Rizzotti
261,93,Mike Baxter
262,93,Josh Fields
263,93,Michael Brantley
264,93,Brendan Katin
265,93,Daniel Descalso
266,93,John Mayberry
267,93,Carlos Guillen
268,92,Ryan Hanigan
269,92,Zack Cox
270,92,Coco Crisp
271,92,Scott Sizemore
272,92,George Kottaras
273,92,Ryan Sweeney
274,92,Angelo Songco
275,92,Laynce Nix
276,92,Russell Martin
277,92,John Bowker
278,92,Kosuke Fukudome
279,92,Donald Lutz
280,92,Casey McGehee
281,91,Clint Robinson
282,91,Casper Wells
283,91,Fernando Martinez
284,91,Aaron Cunningham
285,91,Yasmani Grandal
286,91,Brad Hawpe
287,91,Andres Torres
288,91,David Winfree
289,91,Kurt Suzuki
290,91,Michael Aubrey
291,91,Blake DeWitt
292,91,Daniel Dorn
293,91,Mike Cameron
294,91,Johnny Giavotella
295,91,Brett Pill
296,91,Raul Ibanez
297,91,Ramon Hernandez
298,91,Tyler Flowers
299,91,Tsuyoshi Nishioka
300,91,Danny Espinosa
301,91,Brett Gardner
302,91,Bryan Petersen
303,91,Jaff Decker
304,91,Justin Turner
305,91,Kila Ka'aihue
306,90,Juan Uribe
307,90,Travis d'Arnaud
308,90,Jordan Brown
309,90,Jai Miller
310,90,Conor Gillaspie
311,90,Kirk Nieuwenhuis
312,90,J.P. Arencibia
313,90,Jeff Clement
314,90,Willie Harris
315,90,Milton Bradley
316,89,Ian Stewart
317,89,Ryan Lavarnway
318,89,Ryan Kalish
319,89,Jerry Hairston
320,89,Hank Conger
321,89,Ty Wigginton
322,89,Omar Infante
323,89,Adalberto Santos
324,89,Luis Rodriguez
325,89,Chris Marrero
326,89,Henry Rodriguez
327,89,Matt Hague
328,89,Donnie Murphy
329,89,Nick Stavinoha
330,89,L.J. Hoes
331,89,Fred Lewis
332,89,Travis Snider
333,88,Trent Oeltjen
334,88,Chris Carter
335,88,Jason Bartlett
336,88,Chris Johnson
337,88,Danny Valencia
338,88,Salvador Perez
339,88,Drew Stubbs
340,88,Blake Smith
341,88,Stephen Lombardozzi
342,88,Jeff Larish
343,88,Tagg Bozied
344,88,Mike Aviles
345,88,Juan Lagares
346,88,Jemile Weeks
347,88,Austin Jackson
348,87,Darnell McDonald
349,87,Jeff Keppinger
350,87,Joseph Terdoslavich
351,87,Chun-Hsiu Chen
352,87,Alex Liddi
353,87,Jordan Parraz
354,87,Gordon Beckham
355,87,Jarrett Hoffpauir
356,87,Ichiro Suzuki
357,87,Brayan Pena
358,87,Cord Phelps
359,87,David Lough
360,87,Erik Kratz
361,87,A.J. Ellis
362,87,Trevor Plouffe
363,87,Ryan Langerhans
364,87,Luis Jimenez
365,87,Cole Gillespie
366,87,Jorge Vazquez
367,86,Charles Cutler
368,86,Zack Cozart
369,86,Michael Bourn
370,86,John Buck
371,86,Skip Schumaker
372,86,Alexi Casilla
373,86,Freddy Sanchez
374,86,Nick Weglarz
375,86,Andy Tracy
376,86,Lorenzo Cain
377,86,Bobby Scales
378,86,Mike Wilson
379,86,Jorge Cantu
380,86,Justin Ruggiano
381,86,Erik Komatsu
382,86,Thomas Neal
383,86,Manny Machado
384,86,Sam Fuld
385,86,Alexis Rios
386,86,Juan Miranda
387,86,A.J. Pierzynski
388,86,Michael Taylor
389,85,Joe Benson
390,85,Nolan Arenado
391,85,Travis Buck
392,85,Brandon Allen
393,85,Mark Kotsay
394,85,Zach Lutz
395,85,Josh Harrison
396,85,Andrew Brown
397,85,Ryan Adams
398,85,Scott Moore
399,85,Ryan Wheeler
