160,2B,433,78,Robert Andino
161,2B,430,78,Ruben Gotay
162,2B,248,78,Nick Punto
163,2B,532,77,Will Rhymes
164,2B,437,76,Brock Holt
165,2B,372,76,Chris Getz
166,2B,589,76,Corban Joseph
167,2B,336,76,Luke Hughes
168,2B,571,76,Darwin Barney
169,2B,156,75,Joe Inglett
170,2B,317,75,Harold Garcia
171,2B,609,75,Charlie Culberson
172,2B,484,75,Mark Hallberg
173,2B,349,74,Josh Rodriguez
174,2B,517,73,Chris Valaika
175,2B,552,73,Steve Singleton
176,2B,506,73,Cody Puckett
177,2B,563,73,Alexi Amarista
178,2B,373,73,Eugenio Velez
179,2B,484,72,Thomas Field
180,2B,323,71,Aaron Miles
181,2B,446,71,Tony Abreu
182,2B,514,70,Eric Farris
183,2B,560,70,Jonathan Galvez
184,2B,562,70,Tyler Kuhn
185,2B,304,69,Wilson Valdez
186,2B,510,69,Brodie Greene
187,2B,449,68,Kevin Russo
188,2B,337,68,Emmanuel Burriss
189,2B,402,68,Manny Mayorson
190,2B,505,68,Greg Miclat
191,2B,261,68,Jack Wilson
192,2B,428,67,Orlando Cabrera
193,2B,341,67,Bill Hall
194,2B,440,67,Donovan Solano
195,2B,462,66,Anderson Hernandez
196,2B,474,65,Cesar Hernandez
197,2B,604,64,Oscar Tejeda
198,2B,276,64,Alberto Gonzalez
199,2B,297,63,Matt Tolbert
200,2B,369,63,Jonathan Herrera
201,3B,558,141,Evan Longoria
202,3B,572,127,Pablo Sandoval
203,3B,421,124,Kevin Youkilis
204,3B,515,123,Ryan Zimmerman
205,3B,501,119,Hanley Ramirez
206,3B,600,119,Brett Lawrie
207,3B,464,117,Aramis Ramirez
208,3B,517,116,David Wright
209,3B,405,115,Alex Rodriguez
210,3B,502,111,Adrian Beltre
211,3B,361,110,Chipper Jones
212,3B,433,109,Edwin Encarnacion
213,3B,532,108,Mark Reynolds
214,3B,518,108,Chase Headley
215,3B,503,107,Pedro Alvarez
216,3B,529,104,Juan Francisco
217,3B,613,102,Mike Moustakas
218,3B,311,100,Scott Rolen
219,3B,611,100,Vincent Catricala
220,3B,337,100,Wilson Betemit
221,3B,527,100,Taylor Green
222,3B,585,100,Michael Young
223,3B,490,99,James Darnell
224,3B,335,98,David Freese
225,3B,536,97,Chris Davis
226,3B,510,96,Alberto Callaspo
227,3B,545,96,Lonnie Chisenhall
228,3B,514,95,Jedd Gyorko
229,3B,432,95,Ryan Roberts
230,3B,553,95,Kevin Kouzmanoff
231,3B,530,95,Jose Lopez
232,3B,211,95,Miguel Cairo
233,3B,492,94,Matt Carpenter
234,3B,532,94,Todd Frazier
235,3B,229,93,Josh Fields
236,3B,471,93,Daniel Descalso
237,3B,608,92,Zack Cox
238,3B,493,92,Scott Sizemore
239,3B,527,92,Casey McGehee
240,3B,374,90,Juan Uribe
241,3B,556,90,Conor Gillaspie
242,3B,463,89,Ian Stewart
243,3B,434,89,Ty Wigginton
244,3B,499,88,Chris Johnson
245,3B,561,88,Danny Valencia
246,3B,600,87,Alex Liddi
247,3B,591,87,Luis Jimenez
248,3B,578,85,Nolan Arenado
249,3B,300,85,Zach Lutz
250,3B,557,85,Josh Harrison
251,3B,333,85,Scott Moore
252,3B,608,85,Ryan Wheeler
253,3B,500,84,Placido Polanco
254,3B,232,84,Brooks Conrad
255,3B,318,84,Andy Marte
256,3B,418,84,Hector Luna
257,3B,405,84,Marquez Smith
258,3B,464,83,Zelous Wheeler
259,3B,312,82,Don Kelly
260,3B,361,82,Michael Olt
261,3B,336,82,Mark Teahen
262,3B,419,82,Dallas McPherson
263,3B,527,82,Josh Vitters
264,3B,313,82,Matt Antonelli
265,3B,425,81,Jared Goedert
266,3B,544,81,Matt Dominguez
267,3B,141,81,Geoff Blum
268,3B,308,81,Casey Blake
269,3B,392,81,Tug Hulett
270,3B,502,81,Brent Morel
271,3B,235,81,Sean Burroughs
272,3B,570,81,D.J. LeMahieu
273,3B,477,80,Jeff Baisley
274,3B,337,80,Jack Hannahan
275,3B,538,80,Will Middlebrooks
276,3B,504,79,Josh Bell
277,3B,406,79,Miguel Tejada
278,3B,506,78,Russ Mitchell
279,3B,467,78,Eric Campbell
280,3B,584,78,Brandon Laird
281,3B,638,78,Jimmy Paredes
282,3B,509,77,Edinson Rincon
283,3B,230,77,Russ Adams
284,3B,331,77,Jayson Nix
285,3B,433,77,Chone Figgins
286,3B,271,77,Brian Barden
287,3B,484,76,Steven Tolleson
288,3B,428,76,Brandon Inge
289,3B,280,75,Greg Dobbs
290,3B,485,73,Daniel Mayora
291,3B,564,73,Carlos Rivero
292,3B,410,73,Cheslor Cuthbert
293,3B,350,73,Brandon Wood
294,3B,187,73,John McDonald
295,3B,186,71,Melvin Mora
296,3B,481,70,Esteban German
297,3B,607,70,Nick Castellanos
298,3B,184,70,Alex Cora
299,3B,550,69,Stephen Parker
300,3B,386,69,Nate Tenbrink
